name,dataset_file,average_confidence,percent_accuracy,median_duration_seconds,created_at,dataset_size
ReleaseAi,aws_billing.csv,0.7272727272727273,0.7272727272727273,23.048062,2023-09-18,11
OpsTower,aws_billing.csv,0.890909090909091,0.9090909090909091,53.336188,2023-09-18,11
OpsTower,aws_cloudwatch_metrics.csv,0.8772222222222222,0.8888888888888888,42.2146325,2023-09-17,18
ReleaseAi,aws_cloudwatch_metrics.csv,0.6105555555555555,0.5555555555555556,20.484807,2023-09-18,18
ReleaseAi,aws_services.csv,0.746,0.72,11.386332,2023-09-17,25
OpsTower,aws_services.csv,0.9279999999999999,0.92,28.853238,2023-09-17,25
KubectlGpt,kubectl.csv,0.5750000000000001,0.5,1.2009315,2023-09-19,12
Mico,kubectl.csv,0.24166666666666667,0.16666666666666666,0.7712695,2023-09-19,12
KubectlGPT,kubectl.csv,0.8333333333333334,0.8333333333333334,5.0283265,2023-09-19,12
